data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-04-09T00:00:00.000,11.0,BAIX LLOBREGAT,8147.0,OLESA DE MONTSERRAT,,No classificat,0.0,Home,Positiu per ELISA,1,row-py8h~k2kn_thhe
2020-03-22T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,0.0,Home,Epidemiològic,1,row-4tsr_mqmu.89y6
2020-04-12T00:00:00.000,,,,No classificat,,No classificat,,No classificat,Epidemiològic,3,row-j6ys~72ub_vbra
2020-05-12T00:00:00.000,11.0,BAIX LLOBREGAT,8072.0,CORBERA DE LLOBREGAT,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-t3t9-73bb.t98a
2020-05-26T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,,No classificat,1.0,Dona,Positiu per ELISA,1,row-zupk~5qem-27rr
2020-05-27T00:00:00.000,11.0,BAIX LLOBREGAT,8200.0,SANT BOI DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per ELISA,6,row-2hzh_rg8s.k6qr
2020-05-30T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,8.0,NOU BARRIS,1.0,Dona,PCR probable,1,row-tgaj~itdj~7vj3
2020-04-18T00:00:00.000,39.0,VALL D'ARAN,25059.0,BOSSÒST,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-mmdh.kfks.caw4
2020-06-18T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,2.0,EIXAMPLE,1.0,Dona,Positiu per Test Ràpid,5,row-skh5_iq2u-e5ir
2020-07-14T00:00:00.000,11.0,BAIX LLOBREGAT,8301.0,VILADECANS,,No classificat,0.0,Home,Positiu per Test Ràpid,4,row-484m_pqc2.58zw
2020-08-05T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,7.0,HORTA-GUINARDÓ,1.0,Dona,Positiu per ELISA,1,row-r83k_4ci6_2h4v
2020-10-30T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,1.0,Dona,PCR probable,1,row-bnwh~ajv4~tcjf
2020-10-26T00:00:00.000,11.0,BAIX LLOBREGAT,8200.0,SANT BOI DE LLOBREGAT,,No classificat,0.0,Home,PCR probable,3,row-yvr4_i9un-hkrh
2020-06-12T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,1.0,Dona,PCR probable,1,row-ejie_jzvn_x36s
2021-03-26T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,1.0,CIUTAT VELLA,1.0,Dona,Positiu TAR,1,row-y585.tgtc.4bcu
2020-04-23T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,10.0,SANT MARTÍ,0.0,Home,Epidemiològic,3,row-i7mw.jc4f.jt8q
